id	number_of_trees	number_of_internal_trees	model_size_in_bytes	min_depth	max_depth	mean_depth	min_leaves	max_leaves	mean_leaves	trainingAuc	validAuc	xValidationAuc	testAuc	validMaxF1	validMaxF2
DRF_model_R_1482256972191_1	16	16	112447	20	20	20	488	644	555.3125	0.8347475692939	0.877954300684466	0.868023091350384	0.868042765051226	0.610687022900763	0.727706113292204
DRF_model_R_1482256972191_10724	19	19	280686	30	30	30	1067	1260	1164.8422	0.971406310229317	0.877166956929367	0.861328036507008	0.870664019032271	0.60965283657917	0.721057167480609
DRF_model_R_1482256972191_11649	15	15	146251	30	30	30	673	848	769.4	0.918156158569269	0.861770177213537	0.84811391997792	0.861725854725452	0.593389700230592	0.703808180535966
DRF_model_R_1482256972191_12406	23	23	339452	30	30	30	1067	1260	1163.6086	0.973767938779432	0.877871227203005	0.865329096833029	0.873141379839607	0.607523066004258	0.726915520628684
DRF_model_R_1482256972191_13527	50	50	734742	30	30	30	1050	1303	1158.22	0.978520069419662	0.885268846554379	0.874162708731215	0.886286021257818	0.617960426179604	0.738603577611079
DRF_model_R_1482256972191_15772	100	100	1471190	30	30	30	942	1319	1159.52	0.980201114839606	0.889410652987233	0.87682242170297	0.887681785042784	0.622296173044925	0.741005139920046
DRF_model_R_1482256972191_818	200	200	1416592	20	20	20	401	691	559.405	0.875572837530475	0.890559218041187	0.877968069469696	0.87944390084801	0.636871508379888	0.737960339943343
DRF_model_R_1482256972191_9663	200	200	1933476	20	20	20	541	956	762.115	0.953898024449691	0.891014638734198	0.879085549597044	0.881861306166302	0.628530050687907	0.738733599543639
